timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,etiqueta
1759632530.4436622,2533861,519228,-5652934,-4876199,-2327642,-3877594,-5532942,8388607,contraccion
1759632530.50186,2523675,508681,-5667639,-4890191,-2340494,-3887631,-5546950,8388607,contraccion
1759632530.501968,2517058,502956,-5676931,-4898332,-2347436,-3891709,-5554972,8388607,contraccion
1759632530.502076,2512793,500645,-5682506,-4902547,-2350303,-3891721,-5558806,8388607,contraccion
1759632530.5021837,2506498,495506,-5691349,-4910227,-2356706,-3895330,-5566199,8388607,contraccion
1759632530.502292,2497736,487166,-5703687,-4921614,-2366826,-3902684,-5577366,8388607,contraccion
1759632530.5024,2487601,476805,-5718319,-4935613,-2379471,-3912594,-5591200,8388607,contraccion
1759632530.5025084,2480794,471084,-5727688,-4943952,-2386479,-3916736,-5599298,8388607,contraccion
1759632530.5026157,2476377,468542,-5733463,-4948306,-2389649,-3916951,-5603455,8388607,contraccion
1759632530.502724,2470124,463219,-5742288,-4955961,-2396162,-3920566,-5611070,8388607,contraccion
1759632530.5028317,2461543,454886,-5754363,-4967152,-2406064,-3927665,-5622151,8388607,contraccion
1759632530.5031488,2451598,444653,-5768633,-4980649,-2418380,-3937206,-5635590,8388607,contraccion
1759632530.5032609,2444898,438904,-5778058,-4988815,-2425408,-3941377,-5643552,8388607,contraccion
1759632530.5033703,2440361,436102,-5784286,-4993541,-2428914,-3941992,-5648009,8388607,contraccion
1759632530.5034788,2433901,430636,-5793471,-5001414,-2435644,-3945783,-5655839,8388607,contraccion
1759632530.5035872,2425944,423074,-5804914,-5011867,-2444900,-3952147,-5666255,8388607,contraccion
1759632530.562148,2440578,436636,-5781006,-4998878,-2424610,-3921561,-5654773,8388607,contraccion
1759632530.5622566,2379116,402248,-5607645,-5064460,-2418800,-3635045,-5741133,8388607,contraccion
1759632530.5623646,2214864,280676,-5415992,-5237569,-2472443,-3193596,-5951865,8388607,contraccion
1759632530.562472,2150134,151960,-5328425,-5239977,-2414319,-2806057,-5978904,8388607,contraccion
1759632530.5625796,2148826,1313,-5285224,-5141094,-2298716,-2434578,-5894812,8388607,contraccion
1759632530.5626874,2214818,-190637,-5260024,-4931655,-2103439,-2063256,-5691182,8388607,contraccion
1759632530.562796,2150161,-253265,-5228282,-5038461,-2110333,-1796506,-5823857,8388607,contraccion
1759632530.562905,2000161,-256561,-5188157,-5240334,-2198469,-1620663,-6063804,8388607,contraccion
1759632530.5630128,1914521,-317085,-5142641,-5262217,-2177863,-1413216,-6113941,8388607,contraccion
1759632530.5631206,1937818,-395206,-5092636,-5179332,-2088653,-1187261,-6051527,8388607,contraccion
1759632530.563228,2024197,-492139,-5049762,-4977812,-1920196,-925621,-5858861,8388607,contraccion
